labels,cleaned_comments
neutral,проблемы стране решены
neutral,пол часа быстро пролетели
negative,вкурсе стукачок мелкий
positive,интересно посмотреть сиреневым
neutral,афигел сегодня пятница
neutral,это айлишь думал это
negative,уххххххххх сорвался мужик
negative,неправа категорически осуждаю твою позицию
positive,карина корица самая драгоценная девочка уву
negative,хотели накурить крысу
skip,можешь иншот сделать ахухпха
negative,мои
negative,узурпатора банду таких
neutral,либо звезда либо азино топора вопросы
neutral,продам дом участке 25соток цена
neutral,красота каждого своя каждый находит
negative,балабу давно суд март 2017 ответить
neutral,нахомячили западу завидно причин почему россия готова кризису
positive,люблю слышите
neutral,хамелеон интерактивный
positive,соображает
negative,срыв часа ночи
neutral,смотря какие брюки юбка вообще брюки наверное
speech,спасибо
neutral,потеряла смысл слова сюрприз
neutral,тож шарю небожителей сохраняю арты делаю вид шарю дай сил дочитать магистра перейти
skip,лопнула
negative,становится грустно вспоминая ценой далась эта сила
neutral,надеюсь моргенштерна
negative,надоели мысли
neutral,посмотрите видео tiktok
neutral,сегодня весь день буду лежать трупиком
neutral,кажется мои любимые пуши приходят телефон это уведомления сто поднял мной тост тапке
negative,говно ебаное простите
positive,это вкусно ооочень вкусно чёртов фикбук сновы вылетел смогла оставить отзыв
positive,оранжевый прям цвет
positive,это классика
positive,утра секс ловлю чилл
skip,житель оккупированных территорий думаю
neutral,допустим позвонила вика спросила жарить пельмени
speech,днём рождения пусть каждый день приносит радости приятных эмоций
negative,смерть
positive,нравится профессия содержанка посоветуйте вуз соответствующими программами бакалавриата магистратуры
positive,знаю жить слишком прекрасен
neutral,моей ленте любят доводить несколько
negative,сижу сопля
negative,васин это минус игрок считать
skip,будем честны написала твит ради слова покидьок
positive,хахахахахахахахха
speech,спасибо люблю
negative,болит кончик языка непривычки произношения иностранных слов
speech,сладких снов лента
neutral,ношу тетради школу ещё учебники уроки письменных принадлежностей пенала
neutral,пришла подумала джексон лидер группы exagot7 exabff got7
skip,верещу сильнее иллуми бусинка
neutral,скачать трек bt dynamit itun googl play смотреть клип слушать онлайн
neutral,полностью согласна
negative,сказал
negative,хотя сломан ибо терпеть могла сову
neutral,пека
negative,мыши плакали кололись
negative,любом случае нового древнее мир пережеванное сто пиздец осточертевшее одним словом
negative,иране коронавируса каждые минут погибает пациент trt russian русский
negative,бля пропустила насчет изнасилования
negative,тупой демень
neutral,удача это ящерица
skip,сонин хотод аймагт гайгүй гэдэг бсан намайг
neutral,судах бишкека рассматриваются дела шести объектов построенных нарушениями
neutral,смотрю фильмы комментирую актеров просто
negative,еду домой агз вообще поехала мое настроение рыдпть тупо всё
negative,трудно это признавать шинра долго пропадает становится скучно
negative,милый прости манеру пиздец превратить ещё больший пиздец
positive,вау
negative,беларуси педофилов пострадало 487 детей belaru
neutral,просто лента балуется
positive,буду
negative,пользовали времена дыры
skip,нюдсочетверг ворвусь движ
positive,клип красивый пипе девочки
neutral,онлайн игры выживание скачать играть бесплатно
neutral,чемпионат четырех континентов 2020 фигурному катанию
negative,блядский пиздец сих пор поверить могу
positive,люблю
negative,отъебли
neutral,ага любимый лунный трактор
neutral,моногамия миф
skip,правда считаете фраги играете
negative,спиженый твит хочешь уткин тебе пезду лизнул
neutral,сдаю квартиру этаж 8500 руб великий новгород щусева северный
neutral,наташ
positive,люблю чон хосока отправить твит
neutral,сегодня суббота учусь субботам ещё всё ещё каникулы
neutral,экономия коммуналке отключить услуги которые используются рбк нед
negative,прекратить ебошить везде кислотную кислоту
neutral,сложно
neutral,никто оскорбить твоего согласия
neutral,просто ложилась
positive,заново подписалась рофлу наитию души такие сторисы душевные капец
negative,время месячных
positive,хорошего дня
neutral,сейм
negative,пива нахрюкалась чувствует звездой
skip,такое клюнул
negative,сами догадались доходит люда
neutral,опубликовано фото ледовый дворец спорта северодонецк
neutral,это экране блокировки
neutral,регионы брать
skip,именно избиения смерти
negative,тысяч делают 200 тысяч разоблачаем ложь пропагандистов
neutral,вообще такое показывать
neutral,трансляция чимина
neutral,сына школу отдаёт
negative,крысы радуются болезням хомяков вид грызуны хомяков начнет косить крысы спасутся
neutral,создать массив элементов
neutral,шутки аншлага подъехали
positive,ржу жиза
neutral,странно петербуржский
positive,удачки надеюсь сделаешь такую фотографию которая тебе понравится
neutral,никто абсолютно никто настя ирина саша оля первый день моего реста
negative,ахуел
skip,большой беленький комочек добра радости маленький черный комочек чистого зла пофигизма
negative,одному вашему слову спросила твой возраст
neutral,это паникерство статья
neutral,честно говоря
positive,рада ибо хорошее начинается принятия значит дальше молодец горжусь тобой
neutral,депрессивный просто реалист
negative,печально хочет волноваться переживать заботится
neutral,это армизип видела сайт дорабатывают вау пропустила
negative,заведу кошку такая шизанутая кошки
neutral,напишу
neutral,ахшпхз знала подумаешб
neutral,купить хомяка
neutral,свете ценители
neutral,очень
neutral,надеюсь нормальные читаьа отзывы вроде норм
neutral,поспорила говорю
neutral,регулярка севен сенс реально ниже кик опросе топ пятнадцать клипов нст
neutral,рудковская приглашала загитову академию плющенко команда тутберидзе опубликовала переписку
neutral,смертельная семерка пищевые привычки которые сокращают нашу жизнь
negative,пиздец пятна
skip,смелая девушка симпатичная это быдло масках
negative,настроение запилить тред мою первую практику это очень грустный тред полный безысходности сарказма поэтому
skip,ога пошуршал мусор вывози огород копай ветки руби двор мети барабульки тута
positive,утречка
negative,well расплакалась
neutral,тожеее
negative,чувствую крысой подопытной лаборатории
negative,пизда деньги карты спиздили
positive,отпуск это позавтракал джин тоником
negative,вернусь туда это
neutral,точно
positive,биология 1тема устроено сердце поселиться
neutral,работе
negative,хочу это сравнивать
neutral,ладно это оказалось немного дольше ожидала сделать успею завтра пары
neutral,лента цепочкатвиттерских ещё актуальна
neutral,блин ксюх переводись программирование тебе японский
neutral,привет подпишись
neutral,это вчера прислали
positive,доброе утро сложно график входить
skip,хариултууд эрчүүд найз биш гээд байхад хүүхнүүд үгүй бид найзшдээ гээд байгаа шиг харагдаж байна
positive,ученики школ усольского района канун дня знаний получили подарки павла сумарокова чунский
skip,следам гном гномыча
neutral,возможно
negative,таня шнур фор флешка каким боком блять телефону хуйнёт конец жирный
negative,министр экономического восстановления японии накамура нимура региональные банки пострадали отрицательных процентных ставок
skip,стикеры стыбзила
negative,почему будут исписаны
neutral,зондирование ещё назначали
skip,яасан гоё уйддаг
negative,разврата кстати именно
negative,люцифер кстати поняла линии хлои типа
neutral,всем привет вика шестая участница группы блэкпинк
neutral,вчера
skip,проводные наушники удобнее эбит дии просто током бьют
neutral,пошли
neutral,коллективный подряд константин кучер
negative,нормально такая дисфункциональная семья сериале трагично
negative,год выползая людям вспоминаю почему друзей хуевый друг
negative,женщины пиздаболы хотя среди встречаются нормальные пацаны
positive,удмуртию назвали благоприятным регионом бизнеса
positive,обожаю
negative,увы грозу обещают ждем сих пор
positive,чудесный день могу распирает
neutral,электрик недорого выходных
skip,готова
negative,тип лоха отбил девушку
neutral,козерог
neutral,стримах хеса год
positive,люблю самый классный овен свете
speech,спокойной ночи тэхёнесса
neutral,согл
neutral,вижу
neutral,хочешь удвоить ставки давай
skip,корочн
positive,поэтому жива
neutral,небо облетел вернулся хотел zivert шарик
neutral,ополченцы сбили ввс украины который упал селе розовка шахтерского района год
neutral,это откуда
negative,смотрю говно
negative,гуглю правила дореволюционной русского языка карантин мной делаешь
neutral,протоколы пишут штабе тихановской прямо борис месте отходя кассы
negative,убирались умерли проблема какие бля дети ебанутые
skip,пхххххххххх
neutral,триллион флопсов
speech,доброе утро любимый город
negative,почему слишком крутая
negative,долбоеб составлял литературу класса
negative,совершенно нравлюсь фотографиях хотя отражения зеркале противно апгрейд пипл апгрейд
neutral,появляется вроде своя школа автобусе самом конце ошибаюсь
negative,сколько это ещё выдержу
negative,россия вошла десятку самых зараженных коронавирусом стран
positive,обычно клубнично
neutral,элитный
skip,направил нов хахахах
negative,бля хуйня
neutral,очень надеюсь это фейк
negative,нихуя испытание старой игре гарри поттера
positive,аааа люблю
positive,жду солнышко
skip,прелесть ответственность возьмут
negative,никто мешал работать пока раскрыли чужую дудку рот вопросам которые относятся душить однозначно
neutral,спать
negative,опасный немножко
negative,поймала страшную такая фууу animalcross acnh nintendoswitch animalcrossingnewhorizon newhorizon
neutral,девочки одумайтесь вместо випки купить бинокль пригодится
negative,сука хочется богатства хочется работать
skip,носталгия ужас
neutral,понимаю
neutral,почкованием
neutral,выруби ток
neutral,сдаю квартиру этаж 18000 руб ленинский гвардейская
skip,никто слышу музыку мор утопии
negative,вроде нормально сука буквально рассталась своей детской травмой чувствую странно
positive,нашла огромный плакат наруто простигосподи
neutral,справедливо
negative,реплаях негодуют говорят заплатили
positive,хороший сервис
positive,ольььь выглядишь супер
neutral,остальные разлетелись
negative,выхожу дома долго оставляю вейп столе чувствую голым типа привык
negative,обсуди своё моральное состояние господом пока поздно
neutral,это песня очень давно выложена
negative,ладно спорьте сука
neutral,зависит контекста
neutral,общение блокноте
skip,иха
neutral,малыш иди кровать умоляю
neutral,ностальгирую
negative,вижу экономию сценаристах костюмах спецэффектах графонии
speech,сладких
neutral,reconomica взял интервью получилась такая статья
positive,лягуша зоид любите
negative,тарасик безвиз застудишь
positive,мои
negative,увы алиса нахуй нужна норм челикам пососи
neutral,собрали
neutral,прости спрашиваю шарф это типо флаг
skip,это
neutral,вариант врут шоу цирк
neutral,номер
skip,эврибади сей нооо
positive,включили
neutral,чувствую англией
negative,охуели
positive,пацан сказал пацан сделал
neutral,звуком
positive,привет интересно ответишь
negative,настолько плохое зрение вижу аве клас
positive,прочитала заработали
positive,самый любимый тип людей
negative,заживо сгоревших вернуть виновные гибели людей найдены
positive,сезонов свыклась красивый
negative,плакал просил отругать
neutral,аватарки ветке выглядят армия клонов
negative,хочу убить
positive,хорошенько отдохни
neutral,прячутся
skip,пропало настроение драться мечтаю идеальных отношениях
neutral,девочки повторяйте дома трюк выполнен непрофессионалами
neutral,будут жирафы сделай фото луи
positive,украла гирлянду
positive,дадададада меге икея книжные
neutral,севастополе горящего дома спасли ребёнка
neutral,извините резниковых
neutral,возможно
speech,оооо супер поздравляю
positive,сладких буб
negative,найдем ответ вопрос это начала конца наглая ложь
neutral,против
neutral,ладно тебе знаю
skip,съем рамен посмотрю мистер харт поскетчу
neutral,сдаю квартиру этаж 15000 руб севастополь коралловая респ крым
neutral,шерлок холмс
neutral,дожить июня
neutral,школе проводят конкурс фанфикшена темой персонаж зимняя атмосфера крайне заманчиво буду
speech,годовщиной 8ternitywithexo to8finityandbeyondwithexo
neutral,ослунда известия
negative,пассажиры самолета избили друг друга крови попали видео
speech,спасибо знаю кем шипперить
positive,вами получена ачивка разбить каменное сердце поздравляем
neutral,началось
skip,убаво кажа назор
skip,бид үргэлж бусдыг таатай байлгаж чадахгүй харин бүх хүнд таалагдахаар ярьж болно волтайре
positive,будем уповать лучшее
speech,спасибо тебе
positive,сладких снов ток проснулась
skip,санель
positive,юрий дудь littl big покорили сердца зрителей youtub 2020 году
speech,всем спасибо
neutral,счет
skip,врегджхзщж
positive,тыж спорте
negative,утра хреново сижу возле унитаза жду вырвет здравствуй чипсы ночь
neutral,пытался
neutral,сос тороны виднее
negative,тупые сознательно дурите белорусов кандидат
neutral,разрешаю свое лицо этими фильтрами
neutral,ладно вонпиль посмотрю пару минут
neutral,остановите кашин
negative,поняла пиздец весь
positive,захотелось вновь услышать
neutral,могу
neutral,наоборот очень очень легко
positive,причем желательно большой дружной толпой знаю могете ребят
neutral,тарифы осаго станут справедливыми юридическаяпомощь коломна
neutral,снек лайф хак ипантуся
skip,столько людей
negative,всяко утреца съесть тарелочку хуйцаа
neutral,должны будут котлеты вместе жарить
positive,умничка
neutral,роспотребнадзор рекомендовал школам готовиться работе дистанционном режиме
neutral,владелец
neutral,раскованность прибудешь
skip,никто лента моей сестры инсте пукни французски пукни интелегентно пукни громко пукни мальчик пукни подливкой
neutral,вышла приступила отпустили
positive,тююю лично станет маски
positive,вовремя опомнилась
neutral,кого
neutral,купила месяц раскошелиться дешевле вроде
neutral,умное
neutral,тестостерон играет самцов
positive,джастина лучшая девочка книги кумир
neutral,пищать макаренко
skip,ааээыыы тэхён вилайве
neutral,слушай всё каким казаться
neutral,мое значение твиттере равно найти ваши
skip,ахахаха
positive,приятно слышать друзей которые знают твои друзья
neutral,посмотрите видео dna tiktok мухит мырза
positive,благодарю
positive,это
skip,ама лузер вэттори
neutral,юпе чанбин чан
negative,последний гвоздь уверенность цирк кончится повторяется
negative,моё нытье вроде должно закрытке поною основе
neutral,терапия дорого выступления чимина серендипити бесплатно эффективно
positive,спасибо возьму заметку
negative,блин заболела
neutral,гладиолус
neutral,записала тетрадь
positive,суко красиво
negative,ладно похуй
neutral,это кстати которая оскорбляла ехо бтс любить
neutral,адлерский деревень московские гостиные
positive,доме настроение выйти улицу часа бля посидеть проветриться
skip,ззззз
skip,какое уверенное решение окей заебалась
skip,хўп ока сиз хақсиз шайх илм олиш йўлига дарсди ташаб жумага чиқ диб жавоб берганлар
neutral,никакая коробка блоком питания 6000грн
positive,эхх кусочек
skip,чаечкины лапки нюдсочетверг
positive,любимый фандом ескама сегодня праздник
speech,днём рождения
negative,райдер целишься черной вдовой блять
negative,подкусы пойдут мало покажется
neutral,завершена заливка фундамента crystal москвы
negative,слизняков мокриц гиен шакалов походят
skip,бойся
negative,тебе
negative,дедушка ветот день умерла ненавижу
neutral,пока думаешь нём думаю гречке курочкой
neutral,растений которые оптимизируют работу щитовидной железы интересное полезное
positive,полностью поддерживаем
speech,получается вопросов вопросы существу однако здравствуйте
skip,уву плиз
neutral,случилось
negative,промолчу каким тупым решение отправиться одинокий маяк хиленькой лодочке которая сломаться пути
negative,последний путинский заговорили дефолт точно
positive,кажется охуенно
neutral,подсела русские
positive,жопка неплохо получилась
neutral,давай подробнее очень интересно расскажи
positive,наше солнышко вспоминаем смешную сцену время съёмок
skip,сколько
negative,году очень сложно терпеть
neutral,малия
positive,каеф удается отрастить натачиваю вообще мечтаю когтях
skip,омг
positive,азззаззхвзхазхвза уссалась
neutral,овощная лазанья тыквой эскаролом рецепты еда лазанья
neutral,ещё момент пригласил кофе
positive,джису украла мое сердце конец твита jisoo
neutral,городе заработали ледовые катки
speech,приувэт
negative,азербайджан отменил международное воздушное сообщение исключением турции
negative,оптимизм закончился
negative,боже блять пока
positive,ахаха голосину заржал
neutral,против скину хахахвхаха
neutral,пишу рифму ссылка группу
neutral,это приложении bigo live
negative,поняла первого раза прекрати пожалуйста спамить
positive,абсолютно гадания астрология говорит перееду году
neutral,дыня
negative,всё начинаю бухать
positive,разумеется подруги
positive,пока настолько динозавр чём конкурировать метлой всё впереди
negative,повар спрашивает повараааа какова твоя профессияяя талант это попадать неприятности
negative,выборами своих шкурах заботятся
neutral,приглашаю присоединиться
neutral,неправы должны членами европейских организаций
negative,блять стоять журнале сукааа
negative,хотите перемен чувствуется ощутимость приходите
skip,чисто муд таких ситуациях
negative,страшно
neutral,прошлом году насильно вливали разогретый микроволновке коньяк
neutral,маска
negative,минске кричат это чисто российское явление
neutral,акали поп старс кда
positive,ночь
neutral,это похоже пранк
skip,вааааааааааау
skip,хочу бросить пить алкоголь хочу
neutral,обоже ами просто отец овен
neutral,дожди надвигаются симферополь дождь крым24 новости новости россия
neutral,девочка моего возраста обе
negative,ласково
skip,гляньте лрт важная рекламка тсуисуте
negative,хотим
neutral,стой это уведы
neutral,столичния квартал столипиново милото
positive,однажды услышал талант пропьешь принял это вызов судя всему
skip,энг оғриқли савол мен ҳали жавоб
positive,вспомнила любовника стало жаль
neutral,сама жду
skip,тавилан даа
negative,дохлой крысой башки назвать нахуй
neutral,алеет кончик сигареты блестят твои глаза вокруг вьются эстеты виноградная лоза
neutral,мама пришла шишла принесла
neutral,это ориентация
skip,поприма видим себи око
skip,гот ормоорайнөөөө
positive,похоже толковый мужик
neutral,электровоз поездом 244 ярославль мурманск перегоне летнеозерский обозерская
skip,айн
skip,прилегла одавно придигнем мало
skip,хүрэхээр эхлье этр ккк
negative,скажи алкоголизма недалеко
negative,лошадиное лицо корректирует
positive,пресняков подольская стали родителями второй
negative,лежит древнее проклятье везде вижу дэдди кинк
positive,могу вернуть прежнюю аву
neutral,катя
neutral,утром
neutral,кажется цунаде чисто олицетворение
skip,аргентинд өдөрт хамгийн олон тохиолдол бүртгэгджээ
neutral,мама кинула денег маршрутку итоге купила сыр
negative,блять пользоваться левой рукой
negative,журналист поместился спиной танечки маленький
neutral,видела отзывов нравилась типа хрупкая ломалась думаю смысла переплачивать это мое мнение
positive,даа очень вкусные
speech,фух выдыхаю спасибо полина алина онни бини бини чанбини лавбот
negative,типа суть вообще некому поведать тому нифига уверена чувствую ноу
neutral,третий переваливаешь
neutral,просто знаю
positive,спокойной ночи крошки
negative,ревет сука
negative,онет полиция
skip,коротко моей внешности взрослые серьезные просят материться
negative,дискриминация признаку сексуальной ориентации это оно
neutral,бесплатное отопление дома своими руками гениальное просто
neutral,чокер ключицы джуна
positive,очень красивые слайсы
negative,мое желаниенежелание отношениях заведёт либо могилу либо состояние вечного уныния боже
negative,хочешь уродливый свитер сонь очевидно получится уоодливым
speech,спасибо большое
negative,рот еби тополе
neutral,понимаю это также огромный труд вкладывают
skip,русский
negative,это худший день моей менее ужасной жизни вхвхвв
neutral,молдавский парламент откажется пластиковых бутылок
neutral,нормальное состояние
negative,просто достали необоснованные доебки бариста
neutral,пхахаха сук это рофл свои шуры муры просто братаны алло
skip,восьмимартовское
skip,реально заблюреные получились пипетс ощущение нарисованы
neutral,педагогики семестре возможно втором
negative,это написала тупая
neutral,покажи
skip,рялл
skip,системная оппозиция декорация власти
negative,хочу спать нужно копать картошку
negative,бляюбля
positive,красивые регина выпила вина наш несколько шагов впереди
positive,бля аня тейлор джой такая прекрасная
neutral,оргинал
neutral,дышите
positive,счастлива
speech,бережно берет спасибо большое платье
skip,боже могу счастливая время шокированная моська доена креме делает софт
positive,читай эрха прекрасна
neutral,знаку зодиака овен
positive,очень рад это прям классно
negative,ребёнка спасти вырастет конченым
neutral,заработок интернете вложений
positive,надеюсь скоро пройдёт тебе легче заслуживаешь
positive,это вадим
positive,хан джисона шортиках
neutral,наличии 750р
positive,держу планку
negative,голубчик олкаш причём настолько третьем лице утра говорите
positive,смотрю видео маленьких котиков инстаграме
neutral,никакой магии iphon pro max также имеет ограничения съемки ночью
skip,ороо гээд шинэ дуу
positive,зато утрам спокойно печатать главы фику
neutral,скачать хотя это
positive,правда красиво получилось могу
negative,блять юлей придумали свой мир творим всякую бибу ревем
negative,половина седьмого лучшее время заебанным
positive,хотя думаю вообще сказать ари классная
positive,дебют тумбочке нра
neutral,крайней мере понятно почему архивы засекречены навсегда
neutral,кому отвечаем подписчику воображаемому
neutral,появилось интересное нововведение оцени светофоры солнечных батареях появились чебоксарских школ
positive,наш фандом единственный неповторимый
neutral,уууу девочка
positive,откройте окно пусть радость дом войдёт
neutral,честь скоро буду делать
neutral,пошла искать темплейт учета часов проекту нашла табличку ведения списка любимых шуток инджой
skip,ахвхажаха урыл
speech,1673 милая хорошая обожаю твои твиты рада мьючалки
skip,вся ваша
skip,человек хороший политик ноль
neutral,поменяла
positive,спокойной ночи
neutral,противопоказания вакцине
negative,яяяя
neutral,свои тридцать сребреников надеюсь участники получили
neutral,просто представьте тэхена новой машине bt
neutral,спасибо джули очень вкусно снижать свой вес
skip,скучный лебединый ваш балет лишь одетта раздетты
neutral,смысле выхода орбиту именно такая скорость нужна
negative,пиоресы суки подали сигареты наичкой опатитьц твари твари тварититт
speech,привет маринка
negative,баян
negative,реально просто голова разболелась мысленно ругаюсь
negative,англия воровала удивительно
skip,такая фигня вся спина звездное небо
negative,пропустила момент фем движении вошло моду пуританство
neutral,иран официально признал случайно сбил боинг
positive,солнышко
skip,бббй
neutral,мать вчера сколько лег обычно мать рано утром
negative,это смежные диванные профессии
neutral,добрался перри разные отзывы
neutral,кажется заливаю твит моей голове головах моих близких
negative,ёпттвоюмать буду переделывать
negative,сегодня произошло буквально выходит рамки понимания минус понимаю
negative,некрасивая бесишь
neutral,трактирщик
negative,маски появились продать листовки выборах бесплатно раздаёте катись чёрту упырь едросовский
positive,боже
neutral,тебе нравится бро
negative,ура отсутствие жизни
skip,смотрите пиздатыц севодгя улице
neutral,картины алисы отдельный вид искусства тнрс
neutral,hollow knight прилег сегодняшних событий поздравлений
neutral,периодически забываю ванне нормальных людей лечь сидеть поджав лапки мдэ
neutral,прикатилась
positive,прекрасна
positive,папины дочки показывают канале стс love это шикарно
positive,оаоаооа это таак классно
neutral,кажется знаю ком
positive,чудесная
neutral,фига наша классуха присылает видео путиным
negative,блин подарками разобраться посылку отправить пиздец
positive,духовном плане нашли очень схожестей
skip,никога става както искаш
negative,ладно похуй зато звездочька
skip,воть
neutral,читаю книги скорее
neutral,успокойся
neutral,галина
neutral,понесло попрыгунчика гоп стор петушок туда попрыгунчик lev
neutral,капитан
skip,вараэ вараээ
neutral,помню рисовала последний
neutral,стоп вышла серия отеля хазбин
neutral,результате стрельбы московской гостинице пострадали человека
negative,слишком доказательств мерзости
positive,люблю
neutral,просто вешу велек дождем особенного
neutral,новая форма применяться гражданами
neutral,мульт
positive,это низко делай
neutral,россии началась пятилетка импортозамещения первой
neutral,скучаю временам абсолютно фандоме шутили джейсона деруло
positive,такое слышала типо дикая игривая затмевала разум убивала музыканта бла бла самом деле хорошее имя
positive,ладно извени злисб
negative,коронавирус это заговор врачей боже видимо делать нам нехуй вашему
negative,сижу
neutral,зеленский пока планирует кадровых изменений правительстве сми
negative,хочу пива
neutral,взаимно
neutral,doom etern дум великий ужасный проходим игру часть youtub youtubersreact react
negative,выдайте моему парню медаль отвагу терпение моей невыносимой сущности
positive,стрим идет буду рад
negative,шашлыки собачатины надеюсь
neutral,почему разваливается атомная энергетика украины комментарии
negative,просто дайте сдохнуть тишине
neutral,пародируешь постишь посты поста спокойной ночи
positive,фильм талантливый мистер рипли ахуенный хочу италию кататься яхте
negative,пошлите 2020 год русские буквы следующий
neutral,пишу сочинение обществу сравнила экономику иисуса
negative,ебанутые москве
negative,оооо понравилось нашла виде лип арми тикток обосралась
positive,день хороший
neutral,сколько лет
skip,серьёзно
positive,концовка
neutral,понимаююююююю
positive,реально друг другом повезло
neutral,белый желтый серый
negative,блять делаются такие видео
negative,ситуация бля равно сидите месте
speech,спасибо
positive,дале сане робота
positive,оаоаоаоао
negative,доброе блять утро
neutral,подмосковье обокрали бывшую узницу концлагеря новости news
neutral,митрополит запорожский лука страстную пятницу
neutral,гермиона решительным движением вбежала комнату распахнула дверцы шкафа оттуда стуком выпал воландеморт
neutral,книгу пробовала почитать
negative,тебе недели части разбили
neutral,артобстрел наверное бомбардировка это любитель истории
negative,ростовской области власти исключают второй вспышки коронавируса
neutral,почему ютубе сих пор видео видит человек новичком плюсы минусы употребления
negative,второе это звучит хуже моей голове
neutral,бот 100
neutral,настроение слушать майкла джексона
negative,беня хочет пачкаться лично предпочитает выделить сумму шавкам которые ради суммы готовы всё
negative,точно ризотто хотел мелоне римминг попробовать блять
skip,срочно
negative,подобный выбор каста разочаровал нетфликс боже блять это азиатов гонят одно лицо
positive,любви
negative,тётя перестала ощущать запахи вкусы атеншон блядь лезла нам обниматься жду двадцатку дней это хуйня
